ASN(s);HostProvider;#Ips
26496;GoDaddy.com, LLC;1852672
6939;Hurricane Electric, Inc.;592896
16276;OVH SAS;2734080
40034;Confluence Networks Inc;11008
46606;Unified Layer;649472
8612;Tiscali Italia S.P.A.;1955712
8426;ClaraNET LTD;1084416
24940;Hetzner Online AG;1241600
0;Unknown;0
40263;FC2 INC;2048
32748;Steadfast Networks;164096
8560;1&1 Internet AG;554496
60781;LeaseWeb B.V.;384512
20013;CyrusOne LLC;22144
13335;CloudFlare, Inc.;2208768
22612;Namecheap, Inc.;37888
14618;Amazon.com, Inc.;11908096
31034;Aruba S.p.A.;299008
15169;Google Inc.;6635008
37963;Hangzhou Alibaba Advertising Co.,Ltd.;12136704
