CountryCode,#infections,RoL,E-Participation,Extent of staff training,Capacity of innovation,% of internet users,Secure internet servers
AR,2,0.58,0.55,3.7,3.7,0.599,42.9
AU,1,0.81,0.94,4.5,4.6,0.83,1252.3
AU,1,0.81,0.94,4.5,4.6,0.83,1253.3
BR,1,0.54,0.71,4.3,4.1,0.516,57.4
CA,20,0.81,0.82,4.7,4.6,0.858,1035.3
CN,79,0.5,0.65,4.4,4.8,0.8,3.9
DE,219,0.83,0.71,5,5.6,0.84,1070.9
ES,25,0.7,0.78,3.7,3.8,0.716,269
FI,1,0.87,0.71,5.3,5.6,0.915,1546.9
FR,165,0.74,0.96,4.5,4.8,0.819,486.1
GB,102,0.81,0.96,4.7,5.3,0.898,1193.5
IT,241,0.65,0.78,3.2,4.3,0.585,203.2
NL,116,0.85,1,5,5.2,0.94,2382.1
PL,13,0.67,0.49,4,3.8,0.628,309
PT,65,0.72,0.65,4.2,4.3,0.621,218
RU,5,0.47,0.69,3.8,3.8,0.614,51.1
SG,15,0.8,0.9,5.3,5,0.73,609.3
TR,1,0.42,0.49,3.8,3.7,0.463,50.4
US,1584,0.73,0.92,5,5.9,0.842,1306
